geoid10,pop19,pop22,black19,black22,hisp19,hisp22,perc19,perc22
06001400600,1665,1788,644,428,205,188,50.99,34.45
06001400700,4544,4442,1831,1176,591,625,53.3,40.54
06001401000,5987,5881,2305,1763,1176,942,58.14,46
06001401400,4190,5378,1888,1583,988,1287,68.64,53.37
06001401500,2213,2637,918,938,207,470,50.84,53.39
06001401600,1966,2971,738,793,290,791,52.29,53.32
06001401700,2806,6315,832,1278,779,1594,57.41,45.48
06001401800,1947,1965,1026,815,375,400,71.96,61.83
06001402200,2452,3139,864,815,528,891,56.77,54.35
06001402400,2958,2459,1789,971,258,359,69.2,54.09
06001402500,1907,2010,1150,1014,321,169,77.14,58.86
06001402700,1831,1944,836,772,300,375,62.04,59
06001405401,4138,3875,948,655,1203,753,51.98,36.34
06001405700,3352,3423,1121,835,707,659,54.53,43.65
06001405901,4052,4279,630,541,1461,1805,51.6,54.83
06001406100,4905,5859,387,800,3055,2858,70.17,62.43
06001406201,4252,5019,650,637,1864,2447,59.13,61.45
06001406202,4666,4769,671,514,2605,3114,70.21,76.07
06001406300,3994,3989,686,652,1216,1424,47.62,52.04
06001406500,6352,6196,1134,995,2862,2966,62.91,63.93
06001406601,4995,4834,1600,1081,942,1306,50.89,49.38
06001406602,2891,2554,383,577,1016,798,48.39,53.84
06001407000,5847,6079,1380,1165,1644,2076,51.72,53.31
06001407101,3755,3558,516,484,2025,1954,67.67,68.52
06001407102,4065,4382,861,653,1960,2057,69.4,61.84
06001407200,6565,6823,502,414,4453,4974,75.48,78.97
06001407300,2513,3943,304,582,1348,2173,65.74,69.87
06001407400,4517,4412,687,757,3185,2971,85.72,84.5
06001407500,3887,4383,1354,1101,1691,2545,78.34,83.19
06001407600,6104,6390,2383,1794,1765,2401,67.96,65.65
06001407700,4126,4425,2150,1606,577,791,66.09,54.17
06001407800,2763,2391,815,648,595,543,51.03,49.81
06001408200,4132,4471,2110,1749,523,1221,63.72,66.43
06001408300,4557,4437,1943,1474,798,1129,60.15,58.67
06001408400,3517,3927,1550,1444,1385,1985,83.45,87.32
06001408500,5660,5752,2096,1980,3051,3096,90.94,88.25
06001408600,6225,6181,2098,2036,3510,3235,90.09,85.28
06001408700,7527,7735,3286,2728,3908,3743,95.58,83.66
06001408800,6370,7371,1953,2332,3501,3592,85.62,80.37
06001408900,3228,3672,1101,879,1700,2393,86.77,89.11
06001409000,3928,3131,1593,906,1847,1633,87.58,81.09
06001409100,2217,2472,837,629,914,1527,78.98,87.22
06001409200,3358,2944,1240,717,1476,1791,80.88,85.19
06001409300,5191,5705,1558,1287,3099,3782,89.71,88.85
06001409400,4581,5379,1202,858,2656,3784,84.22,86.3
06001409500,4198,4390,1218,994,2396,2804,86.09,86.51
06001409600,5190,5777,1462,1309,3315,3925,92.04,90.6
06001409700,5431,5523,2299,1980,2656,2779,91.24,86.17
06001409800,3123,3220,1781,1640,487,594,72.62,69.38
06001409900,3410,3470,1665,1480,503,367,63.58,53.23
06001410000,3187,2056,1533,746,214,317,54.82,51.7
06001410100,2916,2808,1650,1329,468,762,72.63,74.47
06001410200,3265,3679,1580,1410,1472,1597,93.48,81.73
06001410300,3381,4036,1012,832,2073,2816,91.25,90.39
06001410400,4344,4142,1723,1291,1912,1955,83.68,78.37
06001410500,2321,2586,1442,1315,168,345,69.37,64.19
06001423300,4063,3738,1439,810,597,551,50.11,36.41
06001424002,2277,2256,875,573,486,383,59.77,42.38
06001432600,7275,7572,1353,1432,2407,2322,51.68,49.58
06001433103,4147,3270,1000,689,1782,1312,67.08,61.19
06001433104,3965,4125,590,782,1261,1499,46.68,55.3
06001433700,3352,3595,412,349,1882,1852,68.44,61.22
06001433800,8137,8143,822,1086,3076,3009,47.9,50.29
06001433900,7561,6833,2307,1476,3456,3230,76.22,68.87
06001434000,5519,4826,1200,840,2902,2218,74.33,63.37
06001435300,4233,5077,1150,849,1041,1849,51.76,53.14
06001435400,4303,4940,867,872,1492,1840,54.82,54.9
06001435500,3544,4104,312,379,1577,2055,53.3,59.31
06001435601,5611,5454,686,477,3344,3364,71.82,70.43
06001435602,5460,5709,416,482,2846,3269,59.74,65.7
06001435700,4749,4904,371,244,2355,2443,57.4,54.79
06001436200,4031,4176,649,484,2366,2687,74.8,75.93
06001436300,8025,9688,893,987,4163,4416,63,55.77
06001436500,4955,5372,697,714,1997,2306,54.37,56.22
06001436601,6273,6761,738,582,3544,4047,68.26,68.47
06001436602,5407,5368,1147,526,2529,2535,67.99,57.02
06001436700,3451,3689,280,247,1427,1924,49.46,58.85
06001436800,4260,4341,721,437,2047,1878,64.98,53.33
06001436900,6577,7099,275,345,4319,4480,69.85,67.97
06001437400,3340,3521,63,142,1787,1925,55.39,58.7
06001437500,4564,4797,197,265,3064,3022,71.45,68.52
06001437600,3666,3398,327,218,1748,1503,56.6,50.65
06001437701,3827,3991,326,427,2193,2342,65.82,69.38
06001437702,5003,4404,281,202,3827,3333,82.11,80.27
06001437800,4491,4785,468,297,1860,1804,51.84,43.91
06001437900,2288,2426,179,154,1365,1330,67.48,61.17
06001438201,4861,4551,344,177,2447,2390,57.42,56.41
06001438300,4174,3865,419,225,1698,1603,50.72,47.3
06001440200,6197,5756,168,210,4554,3865,76.2,70.8
06001444302,4610,3803,86,136,2604,1242,58.35,36.23
06001444400,4902,5282,212,185,2447,2472,54.24,50.3
06001451404,6198,6613,185,120,3082,3243,52.71,50.85
06037101210,5882,6252,197,149,2869,2218,52.13,37.86
06037102105,1942,1855,53,20,1298,1028,69.57,56.5
06037104103,4019,3811,503,389,2891,2651,84.45,79.77
06037104105,5839,5999,321,280,4679,4813,85.63,84.9
06037104108,4917,5829,598,456,3862,4799,90.71,90.15
06037104124,4304,4333,365,387,2300,2210,61.92,59.94
06037104201,4879,4377,621,297,4251,3876,99.86,95.34
06037104203,4828,4874,234,209,4262,4381,93.12,94.17
06037104204,3372,3304,213,189,2495,2526,80.31,82.17
06037104310,5158,4396,260,107,4806,4153,98.22,96.91
06037104320,5321,5242,238,183,4783,4775,94.36,94.58
06037104401,3708,3022,0,19,3657,2872,98.62,95.67
06037104403,2919,2947,11,11,2763,2772,95.03,94.44
06037104404,2769,3082,158,21,2499,2911,95.96,95.13
06037104500,3047,3151,0,20,3016,2954,98.98,94.38
06037104610,3385,3645,0,54,3339,3348,98.64,93.33
06037104620,3422,3200,0,12,3368,3088,98.42,96.88
06037104701,3915,4601,207,131,3664,4336,98.88,97.09
06037104703,2269,2573,66,93,2130,2172,96.78,88.03
06037104704,4439,4477,476,383,3487,3535,89.28,87.51
06037104810,5798,5231,12,55,5499,4427,95.05,85.68
06037104821,3283,3498,114,47,2875,3160,91.04,91.68
06037104822,2572,2345,43,22,2248,2045,89.07,88.14
06037106010,2991,3390,68,118,2080,2375,71.82,73.54
06037106020,6279,5557,67,88,5140,4368,82.93,80.19
06037106111,4816,2893,79,95,3132,1800,66.67,65.5
06037106112,6009,5830,49,132,4284,4178,72.11,73.93
06037106113,3455,3939,79,86,2575,3001,76.82,78.37
06037106114,5926,6645,342,234,5010,5367,90.31,84.29
06037106403,3553,3704,2,18,3150,3282,88.71,89.09
06037106405,3825,3968,183,164,2925,3146,81.25,83.42
06037106406,5495,6231,142,165,3594,4517,67.99,75.14
06037106407,2891,2909,284,200,1875,2303,74.68,86.04
06037106408,3908,3440,80,66,3530,3008,92.37,89.36
06037106510,5151,4560,228,232,3575,3086,73.83,72.76
06037106520,5908,5670,24,72,5133,4975,87.29,89.01
06037106604,4638,5378,0,190,3884,4419,83.74,85.7
06037106648,3994,4815,0,124,3803,4162,95.22,89.01
06037106649,2657,2754,28,66,1594,1867,61.05,70.19
06037107010,3116,3205,0,21,2911,2934,93.42,92.2
06037107020,5549,5491,35,79,4859,4632,88.2,85.79
06037109100,2642,2958,0,81,1590,1683,60.18,59.63
06037109300,3458,3120,290,103,1609,1575,54.92,53.78
06037109400,3412,3752,122,67,2651,2878,81.27,78.49
06037109500,4687,4524,64,55,4274,4092,92.55,91.67
06037109601,4975,4958,127,138,3502,3600,72.94,75.39
06037109603,4153,4203,54,135,2710,2750,66.55,68.64
06037109604,3094,2938,44,86,2111,1968,69.65,69.91
06037109700,4709,4389,205,107,2206,1868,51.2,45
06037109800,5161,4679,111,108,2996,2285,60.2,51.14
06037113233,7841,7441,102,468,5267,4364,68.47,64.94
06037113234,4621,4542,277,176,2243,2367,54.53,55.99
06037113421,6906,6499,322,444,4057,3885,63.41,66.61
06037113422,6699,6421,258,325,3204,3049,51.68,52.55
06037115103,3409,2345,438,510,1109,1056,45.38,66.78
06037115302,4415,4044,254,95,3257,3048,79.52,77.72
06037115401,5983,5980,425,282,2609,2980,50.71,54.55
06037115403,3500,3245,237,218,1967,1799,62.97,62.16
06037115404,2901,2956,179,199,1512,1561,58.29,59.54
06037117101,5456,5195,150,276,2681,2235,51.89,48.33
06037117102,2764,2733,16,80,1693,1603,61.83,61.58
06037117201,4655,4514,95,252,3137,2966,69.43,71.29
06037117303,3709,3647,207,115,1705,1624,51.55,47.68
06037117404,4197,4548,128,189,2051,1821,51.92,44.2
06037117405,3818,3364,11,164,3546,2919,93.16,91.65
06037117407,3775,3482,29,86,3576,3173,95.5,93.6
06037117408,3156,2843,319,150,2594,2188,92.3,82.24
06037117510,3948,4181,90,91,3518,3451,91.39,84.72
06037117520,4008,3961,192,171,3475,3338,91.49,88.59
06037117530,6415,5888,162,224,5017,4284,80.73,76.56
06037119001,3941,4024,2,20,2746,2928,69.73,73.26
06037119002,7038,6723,51,57,5846,5760,83.79,86.52
06037119201,3966,3866,2,15,3493,3277,88.12,85.15
06037119202,4415,4394,104,55,3560,3823,82.99,88.26
06037119310,3877,3983,94,143,2678,2666,71.5,70.52
06037119320,4844,4793,218,159,3559,3303,77.97,72.23
06037119340,3763,3600,16,87,3620,3260,96.63,92.97
06037119341,2785,2867,43,106,1589,1627,58.6,60.45
06037119342,3458,3076,57,70,2857,2388,84.27,79.91
06037119400,5486,4881,14,57,4683,4047,85.62,84.08
06037119800,6479,5949,27,46,5222,4509,81.02,76.57
06037119900,5210,4774,10,71,3660,2969,70.44,63.68
06037120010,2789,2892,81,70,2034,2188,75.83,78.08
06037120020,4822,4159,29,59,3726,3064,77.87,75.09
06037120030,2521,2296,118,24,2217,1990,92.62,87.72
06037120103,3268,3123,94,37,3103,2849,97.83,92.41
06037120104,2684,2327,141,167,1884,1468,75.45,70.26
06037120105,2912,2855,42,74,2052,2010,71.91,72.99
06037120106,4695,4377,99,101,3854,3344,84.2,78.71
06037120107,3886,3760,193,115,3417,3185,92.9,87.77
06037120108,4883,5263,115,227,4140,3978,87.14,79.9
06037120300,5597,5550,23,108,3357,3124,60.39,58.23
06037120400,7021,6614,165,176,4141,3687,61.33,58.41
06037121010,4674,4693,28,62,2703,2676,58.43,58.34
06037121020,3740,3781,31,92,2160,1974,58.58,54.64
06037121101,3152,2936,64,79,1924,1867,63.07,66.28
06037121102,2608,2846,0,51,1528,1441,58.59,52.42
06037121210,3201,3182,75,45,2282,2201,73.63,70.58
06037121221,2304,2147,24,34,1957,1711,85.98,81.28
06037121222,5159,5376,180,66,4488,4689,90.48,88.45
06037121801,3321,3854,184,207,2187,2679,71.39,74.88
06037121802,3487,3192,189,99,2074,2033,64.9,66.79
06037121900,4260,3921,107,68,3326,2916,80.59,76.1
06037122120,4785,4559,50,59,4051,3704,85.71,82.54
06037122121,2784,2629,54,45,2200,1978,80.96,76.95
06037122122,2419,2750,58,74,2080,2161,88.38,81.27
06037122200,4175,4064,9,29,3412,3169,81.94,78.69
06037122410,3853,3824,140,230,3050,2897,82.79,81.77
06037122420,4641,4623,93,151,3795,3512,83.78,79.23
06037123010,4335,4253,122,86,3642,3610,86.83,86.9
06037123020,3552,3177,21,27,2995,2565,84.91,81.59
06037123103,4227,4285,172,212,2532,2396,63.97,60.86
06037123104,4334,4309,76,170,3180,2608,75.13,64.47
06037123203,3699,3508,295,178,2858,2648,85.24,80.56
06037123204,3367,3125,78,125,2513,2228,76.95,75.3
06037123205,2714,2503,152,78,2079,1920,82.2,79.82
06037123206,2876,2857,30,54,2446,2411,86.09,86.28
06037123303,3266,3091,46,77,1754,1761,55.11,59.46
06037123304,4496,4518,129,148,1964,2215,46.55,52.3
06037123410,4125,3967,148,105,2327,2171,60,57.37
06037123420,4326,4481,57,102,2410,2407,57.03,55.99
06037123510,5003,4938,165,201,2449,2229,52.25,49.21
06037123520,2500,2669,246,78,1143,1227,55.56,48.89
06037123901,4327,4621,123,255,2385,2338,57.96,56.11
06037124102,3744,3627,522,194,1695,1805,59.21,55.11
06037124103,2203,1857,75,48,1670,1237,79.21,69.2
06037124104,2727,2519,175,153,1617,1534,65.71,66.97
06037124105,2694,2425,119,81,1631,1410,64.96,61.48
06037124201,3116,3391,85,90,1866,1829,62.61,56.59
06037124203,2693,2450,165,64,1911,1677,77.09,71.06
06037124204,3097,2753,142,137,1608,1616,56.51,63.68
06037124300,3764,3830,85,107,2603,2373,71.41,64.75
06037125310,4867,4941,552,556,1897,1818,50.32,48.05
06037127102,5169,5450,94,331,3183,3153,63.4,63.93
06037127103,3343,3203,74,164,2259,1808,69.79,61.57
06037127104,3880,4140,197,165,2245,2153,62.94,55.99
06037127210,5903,5453,455,339,3533,3060,67.56,62.33
06037127220,4704,4993,181,229,3386,2959,75.83,63.85
06037127300,4582,3735,518,198,2002,1881,55,55.66
06037127400,6087,5529,275,235,4395,3955,76.72,75.78
06037127520,3968,4226,138,251,3172,3189,83.42,81.4
06037127603,3022,2949,85,93,2398,2141,82.16,75.75
06037127604,2782,3194,364,195,1347,1756,61.5,61.08
06037127605,4120,3314,213,143,3025,2468,78.59,78.79
06037127606,3833,3253,156,169,2455,1891,68.12,63.33
06037127711,3737,3434,157,143,2079,1948,59.83,60.89
06037127712,2883,3894,65,270,1815,2263,65.21,65.05
06037127803,4033,5076,89,289,2535,2940,65.06,63.61
06037127804,4154,4422,255,342,2128,2243,57.37,58.46
06037127805,4224,3514,132,195,2649,2141,65.84,66.48
06037127806,3223,3505,176,193,2077,2040,69.9,63.71
06037127910,5128,5209,342,156,3146,3529,68.02,70.74
06037127920,4013,4212,55,121,2301,2225,58.71,55.7
06037128101,3311,3635,127,85,1604,1616,52.28,46.8
06037128102,4663,4874,328,253,3137,3235,74.31,71.56
06037128210,5455,4809,339,295,4606,3483,90.65,78.56
06037128220,2884,3087,217,136,1356,1299,54.54,46.49
06037128302,5202,4654,225,186,4016,3471,81.53,78.58
06037128303,3434,3876,209,111,2810,2985,87.91,79.88
06037128601,4570,4379,163,226,2293,2020,53.74,51.29
06037131010,6308,6463,93,283,3713,3840,60.34,63.79
06037131020,5625,6050,113,209,3599,3644,65.99,63.69
06037131300,4933,4854,33,152,2855,2918,58.54,63.25
06037131400,6257,6149,502,337,2755,2829,52.05,51.49
06037131600,5327,5366,68,141,2742,3022,52.75,58.95
06037131702,3658,3602,354,183,1920,1974,62.17,59.88
06037131800,5750,5656,269,182,3600,3214,67.29,60.04
06037131900,4706,4382,105,120,2443,2059,54.14,49.73
06037132101,4439,4330,247,229,2223,2150,55.64,54.94
06037132102,5376,5618,151,335,2364,2737,46.78,54.68
06037132300,7390,6582,114,212,4427,3763,61.45,60.39
06037132501,4071,4357,100,164,2042,2173,52.62,53.64
06037132502,3965,4252,228,143,1811,1811,51.42,45.95
06037132700,5509,5038,1,147,3294,2929,59.81,61.06
06037133000,4609,4424,157,186,2534,2439,58.39,59.34
06037134001,3941,3708,88,90,3347,2827,87.16,78.67
06037134002,4160,3483,108,177,2568,1996,64.33,62.39
06037134103,4460,4294,286,142,2273,1965,57.38,49.07
06037134201,4161,4271,54,127,2056,2296,50.71,56.73
06037134303,6053,5166,210,168,2979,1895,52.68,39.93
06037134305,4577,3769,33,132,3788,3024,83.48,83.74
06037134306,3666,3553,176,224,1252,1785,38.95,56.54
06037134520,5440,5601,232,189,4183,3958,81.16,74.04
06037134521,3060,2972,98,56,2600,2627,88.17,90.28
06037134522,3847,4015,72,140,2834,2869,75.54,74.94
06037134710,5979,5183,138,190,4574,3593,78.81,72.99
06037134720,4859,5011,147,250,2387,2553,52.15,55.94
06037134800,6408,6373,244,253,3562,3103,59.39,52.66
06037134903,5842,6068,457,630,2777,2207,55.36,46.75
06037134904,4682,4368,216,209,2579,2347,59.7,58.52
06037183101,3673,3659,63,64,2508,2022,70,57.01
06037183103,4428,3798,214,94,3208,2492,77.28,68.09
06037183104,2404,2103,17,36,1285,998,54.16,49.17
06037183220,4465,3682,42,49,3163,2489,71.78,68.93
06037183221,3162,2901,11,62,2126,1599,67.58,57.26
06037183222,3460,3303,160,64,1720,1450,54.34,45.84
06037183300,3365,3083,26,10,2056,1898,61.87,61.89
06037183401,2430,2226,30,29,1625,1156,68.11,53.23
06037183510,2521,2368,12,16,1938,1615,77.35,68.88
06037183520,3814,3450,159,54,2957,2483,81.7,73.54
06037183610,3510,2813,29,37,2868,1860,82.54,67.44
06037183620,3325,2912,41,31,2476,1880,75.7,65.63
06037183701,3818,3838,189,82,3166,2687,87.87,72.15
06037183702,3252,2671,118,120,2077,1308,67.5,53.46
06037183810,4209,4260,35,78,3465,3055,83.16,73.54
06037183820,4000,3626,66,54,3583,2903,91.22,81.55
06037185100,6452,5820,152,123,3303,2502,53.55,45.1
06037185202,4086,3682,194,108,2747,1989,71.98,56.95
06037185203,3244,2651,16,21,2719,1964,84.31,74.88
06037185310,3209,2724,60,9,2749,2292,87.54,84.47
06037185320,2806,2832,1,38,2509,2258,89.45,81.07
06037186301,3103,2679,104,57,2274,1782,76.64,68.65
06037186302,4779,5190,161,96,2382,2497,53.21,49.96
06037186401,3618,2991,0,52,2885,2199,79.74,75.26
06037186403,2998,2521,30,35,2092,1669,70.78,67.59
06037186404,2615,2266,12,28,2095,1552,80.57,69.73
06037187102,3364,4083,0,65,1919,2136,57.05,53.91
06037187200,2783,2801,27,43,2152,1781,78.3,65.12
06037188100,3761,4176,81,100,2251,1997,62,50.22
06037190801,2448,2500,188,152,1037,1103,50.04,50.2
06037190802,2700,2794,87,200,1397,1212,54.96,50.54
06037190901,4468,4016,397,168,3168,3024,79.79,79.48
06037190902,4334,3608,213,172,2501,1954,62.62,58.92
06037191000,3784,5893,350,646,1800,1652,56.82,39
06037191120,4581,3801,141,158,2525,1905,58.2,54.28
06037191301,2505,2076,108,95,1367,1028,58.88,54.09
06037191410,5077,3924,217,120,3438,2582,71.99,68.86
06037191420,3793,2837,206,85,2368,1751,67.86,64.72
06037191500,5683,4980,49,135,3288,2732,58.72,57.57
06037191610,4374,4271,110,138,2917,2723,69.2,66.99
06037191620,3034,2628,86,77,2123,1583,72.81,63.17
06037191710,2932,2576,98,134,2021,1550,72.27,65.37
06037191720,3879,3534,143,100,2918,2484,78.91,73.12
06037191810,3501,3028,164,165,2132,1824,65.58,65.69
06037192420,4258,3645,239,143,1920,1454,50.7,43.81
06037192510,3666,3508,38,66,2015,1859,56,54.87
06037192520,4964,4326,70,93,3722,3051,76.39,72.68
06037192610,4793,4149,229,163,3538,2782,78.59,70.98
06037192620,3648,3260,49,95,2409,1978,67.38,63.59
06037192700,3719,3550,114,185,2362,1938,66.58,59.8
06037195600,3334,3056,32,112,2024,1498,61.67,52.68
06037195710,4784,3939,172,127,3528,2280,77.34,61.11
06037195720,2223,1896,16,45,1529,939,69.5,51.9
06037195802,2747,2744,65,112,1603,1349,60.72,53.24
06037195804,2442,2459,126,54,1383,1099,61.79,46.89
06037197200,3875,3287,13,10,2318,1738,60.15,53.18
06037197420,3457,3376,146,83,1888,1698,58.84,52.75
06037197500,3930,3973,88,107,2091,1953,55.45,51.85
06037199000,5538,5396,11,142,3536,3359,64.05,64.88
06037199110,2500,2377,96,33,2148,1892,89.76,80.98
06037199120,4484,3777,0,112,3268,2708,72.88,74.66
06037199201,4121,3584,0,75,2609,2335,63.31,67.24
06037199202,3045,2785,6,53,2455,2046,80.82,75.37
06037199300,3556,3545,78,82,2303,2081,66.96,61.02
06037199400,4513,4470,32,55,3183,3339,71.24,75.93
06037199700,3297,3393,26,95,2377,2193,72.88,67.43
06037199800,4995,5180,1,45,3144,3118,62.96,61.06
06037199900,2719,2641,27,57,2131,2025,79.37,78.83
06037201110,2657,2332,5,54,2189,1737,82.57,76.8
06037201120,4176,4208,117,151,3462,3148,85.7,78.4
06037201200,2660,2362,7,17,2469,1965,93.08,83.91
06037201301,3307,3409,39,77,2683,2484,82.31,75.12
06037201401,5127,4701,148,135,4282,3672,86.41,80.98
06037201402,4693,4046,55,38,3350,2962,72.55,74.15
06037201501,5406,4974,10,53,4595,4095,85.18,83.39
06037201503,3285,3059,2,43,3030,2615,92.3,86.89
06037201504,2044,2254,14,27,1635,1817,80.68,81.81
06037201601,2240,2183,25,28,1757,1663,79.55,77.46
06037201602,2905,2686,35,28,2222,2153,77.69,81.2
06037201700,5866,5055,234,359,3944,3267,71.22,71.73
06037203100,4689,4688,1,79,4453,4339,94.99,94.24
06037203200,4876,4264,31,33,4745,3947,97.95,93.34
06037203300,2095,2280,290,284,1413,1460,81.29,76.49
06037203500,3136,2748,8,48,2475,2237,79.18,83.15
06037203600,4854,4786,0,39,4690,4494,96.62,94.71
06037203710,3458,3087,54,19,3312,2911,97.34,94.91
06037203720,4139,3580,26,56,4057,3301,98.65,93.77
06037203800,5053,4502,0,37,4880,4247,96.58,95.16
06037203900,3097,2614,12,9,3027,2489,98.13,95.56
06037204110,3131,2811,37,11,3065,2677,99.07,95.62
06037204120,2745,2368,4,14,2711,2260,98.91,96.03
06037204200,3382,3393,0,56,3142,3123,92.9,93.69
06037204300,4812,4433,0,33,4597,4171,95.53,94.83
06037204410,2077,2174,0,36,2033,1941,97.88,90.94
06037204420,2909,2870,71,79,2669,2643,94.19,94.84
06037204600,4633,3740,51,68,4482,3380,97.84,92.19
06037204700,4795,4632,0,21,4473,4391,93.28,95.25
06037204810,4796,5035,60,55,4622,4777,97.62,95.97
06037204820,2446,2055,0,4,2403,1958,98.24,95.47
06037204910,3021,3184,0,41,2874,3007,95.13,95.73
06037204920,2570,2537,0,36,2477,2421,96.38,96.85
06037205110,3826,3850,71,26,3666,3704,97.67,96.88
06037205120,3288,3858,32,106,3120,3633,95.86,96.92
06037206010,3157,3335,134,151,1797,1617,61.17,53.01
06037206020,7579,5577,2586,1762,2960,2602,73.18,78.25
06037206032,5133,5934,36,143,3957,4647,77.79,80.72
06037206050,2278,2263,52,114,1850,1687,83.49,79.58
06037206300,5514,6307,2829,2458,1132,1989,71.84,70.51
06037207400,991,2002,168,423,607,602,78.2,51.2
06037208000,7197,6607,361,467,4925,4168,73.45,70.15
06037208301,2213,1878,6,27,2085,1683,94.49,91.05
06037208302,4417,4560,222,494,3408,3064,82.18,78.03
06037208401,4403,3832,111,72,3295,2749,77.36,73.62
06037208402,2850,2590,19,68,2011,1592,71.23,64.09
06037208502,3589,3540,140,133,2530,2403,74.39,71.64
06037208620,4530,4052,381,254,2007,2005,52.72,55.75
06037208720,4574,3810,252,208,3568,2900,83.52,81.57
06037208801,3252,3566,190,409,2059,1921,69.16,65.34
06037208802,3059,2942,171,242,1756,1663,62.99,64.75
06037208902,2572,2570,6,44,2451,2274,95.53,90.19
06037208903,3883,3888,161,134,3188,3301,86.25,88.35
06037208904,3632,3882,48,132,3131,3187,87.53,85.5
06037209102,4787,5297,177,409,3802,3537,83.12,74.49
06037209103,3610,3079,63,122,3399,2751,95.9,93.31
06037209104,2431,2380,115,174,2009,1826,87.37,84.03
06037209300,4276,4712,332,355,2665,2872,70.09,68.48
06037209401,4108,4163,399,346,2878,2813,79.77,75.88
06037209402,3695,4056,58,168,3415,3480,93.99,89.94
06037209403,3589,3850,227,285,2354,2594,71.91,74.78
06037209510,2680,2813,56,150,1841,1801,70.78,69.36
06037209520,2559,2648,61,107,2109,2144,84.8,85.01
06037209810,2773,2385,185,135,1996,1719,78.65,77.74
06037209820,3020,2732,43,102,2738,2283,92.09,87.3
06037210010,3570,3190,86,106,2773,2444,80.08,79.94
06037211121,2330,2431,154,190,1039,1118,51.2,53.81
06037211201,3013,2538,82,70,2369,1677,81.35,68.83
06037211202,2607,2693,92,85,1680,1580,67.97,61.83
06037211310,4296,3603,176,98,3016,2476,74.3,71.44
06037211320,3305,2899,147,163,2216,1546,71.5,58.95
06037211420,3356,3479,191,133,1516,1601,50.86,49.84
06037211910,4749,4223,201,300,3117,2220,69.87,59.67
06037211922,3694,3182,109,241,2195,1467,62.37,53.68
06037212202,3704,3364,50,151,2883,2384,79.18,75.36
06037212203,3059,3216,31,162,2428,1703,80.39,57.99
06037212204,3666,3227,269,199,2801,2288,83.74,77.07
06037212303,3268,3486,111,214,2274,1861,72.98,59.52
06037212304,1867,1738,52,109,1319,1015,73.43,64.67
06037212305,3030,2533,93,136,2343,1700,80.4,72.48
06037212410,4135,3560,297,136,1793,1554,50.54,47.47
06037212420,3354,2875,188,137,1885,1469,61.81,55.86
06037212501,2158,1944,145,133,1051,858,55.42,50.98
06037212620,4609,4111,166,219,2201,1625,51.36,44.86
06037212800,4103,4121,565,315,2070,2006,64.22,56.32
06037212900,4906,3721,526,348,3150,1923,74.93,61.03
06037213201,4554,4330,72,158,2299,1823,52.06,45.75
06037213202,3987,3679,95,200,2494,2102,64.94,62.57
06037213310,3827,3323,27,47,3019,2050,79.59,63.11
06037213320,2151,3006,119,191,1244,1726,63.37,63.77
06037213401,5616,4806,98,111,4431,3361,80.64,72.24
06037213402,4558,5119,145,194,3333,3394,76.31,70.09
06037216700,3973,3938,1268,871,910,892,54.82,44.77
06037216900,5178,5219,1157,1248,1533,1054,51.95,44.11
06037217100,5685,5450,2057,1210,1701,1957,66.1,58.11
06037217200,3997,3887,931,765,1495,1464,60.7,57.34
06037218110,3476,3120,763,618,1844,1542,75,69.23
06037218120,5124,4250,597,335,3422,2913,78.43,76.42
06037218210,3991,3951,717,477,2865,2852,89.75,84.26
06037218220,4592,4123,1294,945,2539,2125,83.47,74.46
06037218300,5781,5206,2142,1288,2787,2534,85.26,73.42
06037218400,4290,4364,1205,806,2800,2790,93.36,82.4
06037218500,2819,2810,1013,705,1553,1517,91.03,79.07
06037218600,3440,2820,1148,670,2044,1519,92.79,77.62
06037218701,2472,2455,1167,765,849,1059,81.55,74.3
06037218702,2178,2199,905,576,1026,1273,88.66,84.08
06037218800,2699,2633,676,493,1567,1639,83.1,80.97
06037218900,5828,5329,2124,1653,2959,2707,87.22,81.82
06037219010,2694,2749,864,526,1587,1772,90.98,83.59
06037219020,4275,4590,1399,903,2436,2952,89.71,83.99
06037219300,4433,3757,1433,921,2501,2191,88.74,82.83
06037219500,1727,1783,676,800,515,406,68.96,67.64
06037219700,4180,4186,1112,887,2782,2623,93.16,83.85
06037219800,3024,2931,679,481,2224,2061,96,86.73
06037219901,4494,4651,803,597,3478,3506,95.26,88.22
06037219902,4030,3878,881,651,2715,2646,89.23,85.02
06037220000,5754,5420,2367,1831,2887,2552,91.31,80.87
06037220100,2297,2419,1301,1069,571,811,81.5,77.72
06037221110,3657,3289,39,87,3155,2838,87.34,88.93
06037221120,3075,3030,47,55,2930,2764,96.81,93.04
06037221210,3022,2917,213,136,2430,2237,87.46,81.35
06037221220,3782,3143,41,79,3133,2574,83.92,84.41
06037221302,5457,4330,623,505,4111,2958,86.75,79.98
06037221303,2613,2384,221,162,1863,1806,79.76,82.55
06037221304,3740,3032,451,493,2381,1725,75.72,73.15
06037221401,3169,3362,1531,1221,1187,1441,85.77,79.18
06037221402,2926,2700,667,502,1476,1426,73.24,71.41
06037221500,3875,3864,1162,748,2556,2607,95.95,86.83
06037221601,3486,3175,409,271,2735,2455,90.19,85.86
06037221602,3174,2693,53,103,2868,2256,92.03,87.6
