geoid10,pop19,pop22,black19,black22,hisp19,hisp22,perc19,perc22
36061016200,9195,9033,3353,3364,4661,3862,87.16,80
36061016400,6901,7371,1847,1888,3050,3681,70.96,75.55
36061016600,7313,7012,1051,1205,4066,3477,69.97,66.77
36061016800,4693,4964,1616,1338,1927,2276,75.5,72.8
36061017000,7824,7991,1972,1272,3673,4251,72.15,69.12
36061017200,5655,5441,1232,1026,3559,2985,84.72,73.72
36061017401,4127,5449,1441,1610,1915,2420,81.32,73.96
36061017402,2309,2276,944,687,718,820,71.98,66.21
36061017800,3825,3860,630,687,2015,2016,69.15,70.03
36061018000,8275,7429,1697,1541,5127,4354,82.47,79.35
36061018200,7206,7675,1530,2002,4472,4130,83.29,79.9
36061018400,7796,7820,2783,2609,3984,3718,86.8,80.91
36061018600,7310,5127,3732,2356,2828,1946,89.74,83.91
36061018800,5452,5697,1249,1074,2973,3288,77.44,76.57
36061018900,12825,11556,2968,2620,5885,4692,69.03,63.27
36061019000,3194,3679,1876,1617,398,753,71.2,64.42
36061019200,4066,3971,1490,1403,2288,2064,92.92,87.31
36061019300,9327,8736,1044,1347,4165,3458,55.85,55
36061019400,6861,6978,2308,1990,3860,3871,89.9,83.99
36061019600,4327,4031,1264,1241,2118,1837,78.16,76.36
36061019702,2127,2601,723,734,494,431,57.22,44.79
36061019800,2513,2370,1624,1034,369,452,79.31,62.7
36061020000,3176,2855,1635,1205,541,412,68.51,56.64
36061020102,4290,4077,2090,1566,957,850,71.03,59.26
36061020600,2949,3628,1856,1801,559,870,81.89,73.62
36061020800,5320,5255,2834,2955,634,794,65.19,71.34
36061020901,4064,3665,2032,1497,1669,1608,91.07,84.72
36061021000,7084,6748,4494,4177,1945,2009,90.89,91.67
36061021200,4412,4899,2787,2893,1050,909,86.97,77.61
36061021303,6087,5583,3496,1966,1703,1852,85.41,68.39
36061021400,3007,3075,2458,2036,242,427,89.79,80.1
36061021500,3756,3856,2306,2083,793,1032,82.51,80.78
36061021600,8413,8567,4638,3590,1221,1877,69.64,63.81
36061021800,7569,6530,4479,3348,1274,1153,76.01,68.93
36061021900,6401,5696,2308,1920,3620,3213,92.61,90.12
36061022000,5379,6114,3218,2808,900,1151,76.56,64.75
36061022102,2351,2382,1379,1226,125,328,63.97,65.24
36061022200,3089,3293,1636,1522,473,566,68.27,63.41
36061022301,7967,7258,746,534,5791,5087,82.05,77.45
36061022302,3432,3101,842,577,1946,1747,81.24,74.94
36061022400,7962,7346,4726,3718,2525,2543,91.07,85.23
36061022500,10269,9895,2244,1800,6012,5891,80.4,77.73
36061022600,4235,4890,2897,2600,739,1055,85.86,74.74
36061022700,5319,5387,2310,2027,1630,1513,74.07,65.71
36061022800,5814,5961,3704,3387,752,1143,76.64,75.99
36061022900,8598,7975,2341,1622,4504,4472,79.61,76.41
36061023000,9259,9111,5558,5391,2571,2087,87.8,82.08
36061023100,6890,6273,1758,2156,3295,2062,73.34,67.24
36061023200,8370,8061,5012,4646,2778,2561,93.07,89.41
36061023300,6808,6368,2023,1466,3079,2770,74.94,66.52
36061023400,5225,5112,3117,2622,1419,1286,86.81,76.45
36061023501,6647,6720,2478,2308,2870,2724,80.46,74.88
36061023502,1840,2206,1248,1295,303,484,84.29,80.64
36061023600,7004,9907,5332,7431,1378,1749,95.8,92.66
36061023700,7450,6792,2265,1547,3805,3542,81.48,74.93
36061023900,2810,2675,1081,790,1381,1273,87.62,77.12
36061024000,1688,1302,861,621,399,466,74.64,83.49
36061024100,7911,7612,2268,1517,4490,3828,85.43,70.22
36061024200,3972,4448,1934,1961,1645,1995,90.11,88.94
36061024301,3926,3993,1522,1052,1680,2093,81.56,78.76
36061024302,7239,7237,3924,3327,3133,3436,97.49,93.45
36061024500,16231,13385,1197,1249,13429,9641,90.11,81.36
36061024700,7960,6521,625,612,5770,4229,80.34,74.24
36061024900,1324,1084,225,173,973,627,90.48,73.8
36061025100,2629,2287,376,238,1895,1640,86.38,82.12
36061025300,12189,10081,590,532,9376,7341,81.76,78.1
36061025500,5420,5697,220,370,2493,2370,50.06,48.1
36061025700,4446,4270,1967,1577,809,755,62.44,54.61
36061025900,4155,4029,1885,1677,1296,1176,76.56,70.81
36061026100,13496,10733,754,679,12042,9181,94.81,91.87
36061026300,9715,7969,490,429,8232,6224,89.78,83.49
36061026500,8056,6850,552,316,4932,3874,68.07,61.17
36061026900,8651,7848,285,454,7556,6356,90.64,86.77
36061027100,9704,7623,275,215,6499,4945,69.81,67.69
36061027700,7558,6423,771,306,5910,5234,88.4,86.25
36061027900,11069,10019,405,381,8579,7058,81.16,74.25
36061028300,7720,7740,601,509,5254,5211,75.84,73.9
36061028500,7778,6794,401,294,6465,5539,88.27,85.86
36061028700,4135,3772,107,173,2572,2209,64.79,63.15
36061029100,12337,10509,409,482,11351,8885,95.32,89.13
36061029300,9381,8035,266,295,8087,6838,89.04,88.77
36061029500,8164,7039,128,390,5158,3762,64.75,58.99
36061029700,48,16,48,5,0,6,100,68.75
36061029900,4581,3598,848,763,3610,2647,97.31,94.77
36061030300,4670,3691,141,176,2895,1873,65.01,55.51
36061030900,9398,8594,1512,1658,6913,6008,89.65,89.2
36061031100,0,12,0,2,0,8,,83.33
36061031900,0,3,0,0,0,2,,66.67
36081000200,3364,3084,32,118,1860,1830,56.24,63.16
36081000400,4559,4918,244,263,2683,3301,64.2,72.47
36081000600,3807,4177,301,246,1954,2591,59.23,67.92
36081000800,3543,3580,71,167,1958,2169,57.27,65.25
36081001000,3884,3789,236,128,2337,2382,66.25,66.24
36081001200,4998,4183,115,149,2933,2353,60.98,59.81
36081001400,3781,4114,97,144,2675,2507,73.31,64.44
